co2_ppm,humidity_pct,light_lux,nh3_ko,oxidised_ko,pm10_ugm3,pm1_uhm3,pm25_ugm3,pressure_inhg,reduced_ko,temperature_f,timestamp
844.0,30.057587969334914,16.45035,119.65496346462307,28.7536331584831,29.0,17.0,29.0,25.30998373288471,309.85003711952515,78.99696947440276,2026-03-29T00:00:00.620740
853.0,29.927593158994753,17.42775,119.4985754985755,28.702646957717427,29.0,17.0,28.0,25.309389455662586,311.21311475409834,78.98054927305155,2026-03-29T00:00:05.865463
857.0,29.915832923604185,17.42775,119.74893009985736,28.7463456577816,30.0,18.0,29.0,25.30957257658536,313.96996996997007,78.97559500239737,2026-03-29T00:00:11.105773
873.0,29.880627309121405,16.45035,119.71759671955787,28.775503182521934,30.0,18.0,29.0,25.309734791492847,314.5263157894738,79.22911786711018,2026-03-29T00:00:16.343038
879.0,29.773000269341487,16.45035,119.78027465667915,28.79008947006194,30.0,18.0,29.0,25.309761809905137,314.2479338842976,79.49934311383893,2026-03-29T00:00:21.580227
882.0,29.665831817544202,17.42775,120.47269471799466,28.870403857745625,29.0,17.0,28.0,25.30961314685853,315.5039577836413,79.33716288674113,2026-03-29T00:00:26.811925
885.0,29.576095603324923,19.567,120.47269471799466,28.89964682573865,29.0,17.0,28.0,25.309555909369358,316.20543806646543,79.77017693402081,2026-03-29T00:00:32.045680
887.0,29.588333993734633,19.567,120.34639470388267,28.914275868010684,30.0,18.0,29.0,25.309097707122977,314.94467444486276,79.80476270417725,2026-03-29T00:00:37.278234
887.0,29.583035802016212,16.45035,120.75753228120521,29.031489949098443,30.0,18.0,29.0,25.3095302371615,316.76853252647527,79.41261421418662,2026-03-29T00:00:42.517835
892.0,29.636892036017706,19.567,120.72583826429987,29.053503624439085,31.0,18.0,29.0,25.309429603478474,316.06493016232554,79.3082629414344,2026-03-29T00:00:47.748287
893.0,29.55861918412608,19.567,120.59917577495078,29.038826574633312,31.0,18.0,30.0,25.309306033182143,315.2241054613937,79.6576626675886,2026-03-29T00:00:52.981890
893.0,29.528686706934085,19.567,120.56753851666073,29.031489949098443,29.0,17.0,29.0,25.309735111235458,314.8051166290445,79.88320547043224,2026-03-29T00:00:58.220673
896.0,29.558550268731462,19.567,120.59917577495078,29.024154589371985,30.0,18.0,30.0,25.309131231200514,314.3870725291245,79.8402683740196,2026-03-29T00:01:03.450248
896.0,29.564467574981105,19.567,120.8526825767092,29.046164466304262,30.0,18.0,30.0,25.309401800328292,314.8051166290445,79.67696552078044,2026-03-29T00:01:08.693680
895.0,29.51055280801469,19.567,121.01149425287355,29.053503624439085,29.0,18.0,29.0,25.309427283938668,314.66566378337734,80.08944542935359,2026-03-29T00:01:13.929515
892.0,29.468474436648286,19.567,120.6308243727599,29.024154589371985,28.0,17.0,27.0,25.3094317954385,313.96996996997007,80.01449394943086,2026-03-29T00:01:19.168553
889.0,29.4382798761603,17.42775,120.66248431618574,29.00215610176801,28.0,18.0,27.0,25.309123904078387,313.8311444652909,80.00798250174276,2026-03-29T00:01:24.396938
889.0,29.40852643084795,17.42775,120.50429799426938,29.00215610176801,29.0,19.0,28.0,25.30941541568645,313.96996996997007,79.9433596435702,2026-03-29T00:01:29.641363
889.0,29.33045364258126,17.42775,120.59917577495078,28.994825802000694,27.0,18.0,26.0,25.309682006389576,313.96996996997007,80.18716255326987,2026-03-29T00:01:34.877808
889.0,29.294453262307396,17.42775,120.6308243727599,28.994825802000694,27.0,18.0,26.0,25.309465416116694,314.10889973713864,80.411568320084,2026-03-29T00:01:40.119340
888.0,29.288655732620008,19.567,120.6308243727599,28.98749676640511,28.0,18.0,27.0,25.30924889299133,314.10889973713864,80.48331116948745,2026-03-29T00:01:45.350026
886.0,29.306480319848774,19.567,120.66248431618574,28.965517241379313,28.0,18.0,26.0,25.309219722961288,314.10889973713864,80.1765226105838,2026-03-29T00:01:50.586181
885.0,29.337015614247605,17.42775,121.04329082090891,29.009487666034158,26.0,17.0,25.0,25.30926977764212,314.66566378337734,80.203582519054,2026-03-29T00:01:55.820520
886.0,29.29477077533394,17.42775,120.88442211055283,29.009487666034158,28.0,18.0,26.0,25.309519586115968,314.94467444486276,80.38184257931977,2026-03-29T00:02:01.058699
883.0,29.24094939481531,19.567,120.88442211055283,29.024154589371985,28.0,18.0,26.0,25.309261300743707,315.5039577836413,80.36955121663524,2026-03-29T00:02:06.296465
882.0,29.211021341554506,17.42775,120.75753228120521,29.038826574633312,28.0,18.0,27.0,25.30949435413986,314.8051166290445,80.50735128860534,2026-03-29T00:02:11.538825
878.0,29.186817021378825,17.42775,120.78923766816149,29.046164466304262,27.0,17.0,26.0,25.309181803995877,314.66566378337734,80.56845423757967,2026-03-29T00:02:16.768970
877.0,29.13286131728661,17.42775,120.75753228120521,29.01682049512637,27.0,16.0,26.0,25.309397941206132,314.10889973713864,80.49845725946805,2026-03-29T00:02:22.008579
875.0,29.17508808470689,17.42775,120.69415561133027,28.994825802000694,28.0,17.0,27.0,25.30925678237105,313.96996996997007,80.30832565943638,2026-03-29T00:02:27.246726
874.0,29.265475136998624,17.42775,120.75753228120521,28.994825802000694,28.0,17.0,27.0,25.309286410527474,314.2479338842976,80.11345685513196,2026-03-29T00:02:32.478747
876.0,29.307405260008576,17.42775,121.20244516361021,29.046164466304262,29.0,17.0,28.0,25.3091198827844,315.6440422322777,80.31578539133668,2026-03-29T00:02:37.714915
877.0,29.31346649633315,17.42775,121.2661870503597,29.024154589371985,31.0,17.0,30.0,25.309190665181156,314.66566378337734,79.94840823367173,2026-03-29T00:02:42.955437
877.0,29.3015024370675,17.42775,120.78923766816149,28.98749676640511,30.0,16.0,29.0,25.30919066871675,314.66566378337734,80.06257395601014,2026-03-29T00:02:48.188813
877.0,29.283793807711998,17.42775,120.78923766816149,29.01682049512637,29.0,17.0,28.0,25.30889919662212,315.0843373493977,80.3100053882882,2026-03-29T00:02:53.435388
875.0,29.27764368168444,17.42775,120.88442211055283,29.01682049512637,27.0,16.0,26.0,25.308999121701518,315.3639788997741,80.33229968655893,2026-03-29T00:02:58.670424
874.0,29.35603005756066,17.42775,120.97970910396846,29.031489949098443,28.0,17.0,27.0,25.309348706154864,315.924528301887,80.07559678903846,2026-03-29T00:03:03.900882
874.0,29.42902022861091,17.42775,120.72583826429987,28.994825802000694,28.0,17.0,27.0,25.309052193676045,314.3870725291245,79.9442140614178,2026-03-29T00:03:09.136400
